id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl,name_tran,time_tran,creator_tran,level_tran,placeOfOrigin_tran,museum_tran,type_tran,size_tran,material_tran,description_tran
2,infant ensemble,null,null,null,null,Auckland Museum,null,"pants length: 308mm; neck: 280mm; chest: 590mm; shoulder to hem: 397mm; sleeve inner sam: 145mm; sleeve hem circumference: 221mm; waist: 655mm; side split - true left side, hem upwards: 114mm; true right side - hem to left front commence: 135mm; true right (shorter) front: 152mm; true right (shorter) front hem to collar: 200mm; pants leg inner seam: 151mm; waistband: 50mm; front length waistband to pant leg inner seam: 122mm; back length waistband to trouser leg inner seam: 132mm; split from lower hem up centre seam: 40mm; : 440mm; of crown: 136mm; ",[silk]/AAT Materials; brass (alloy)/copper alloy/nonferrous metal/metal/inorganic material/AAT Materials,"Infants red satin pants, jacket and hat; hat has brass ornaments attached; Belonged to one of the sons of Mrs Lillian Choy",https://www.aucklandmuseum.com/discover/collections/record/738488?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451123/ea134f2001aa270f20e03e114536a4a1d3f3249a.jpg,婴儿合奏,无,无,无,无,奥克兰博物馆,无,裤子长度：308mm；颈部：280mm；胸部：590mm；肩到下摆：397mm；套筒内sam:145mm；袖下摆周长：221mm；腰围：655mm；侧面开叉-真正的左侧，下摆向上：114mm；真正的右侧-下摆到左前开始：135毫米；真右（短）前：152mm；真正的右（较短）前下摆到衣领：200mm；裤腿内缝：151mm；腰带：50mm；前腰至裤腿内缝：122mm；后腰至裤腿内缝：132mm；从下摆向上中央接缝分开：40mm；：440毫米；冠部：136mm；,[丝绸]/AAT材料；黄铜（合金）/铜合金/有色金属/金属/无机材料/AAT材料,婴儿红色缎面长裤、夹克和帽子；帽子上附有黄铜饰品；属于蔡丽莲夫人的一个儿子
6,"back carrier, baby",[1930s],null,null,null,Auckland Museum,null,null,null,baby back carrier (Chinese); Made for one of Mrs Lillian Choy's sons;  comprising of black and green fabric with red centre section incorporating embroidered geometric pattern,https://www.aucklandmuseum.com/discover/collections/record/738491?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451058/a987d0e57066bf0c99ecb536e3ed4368c7fef61d.jpg,婴儿背托,【20世纪30年代】,无,无,无,奥克兰博物馆,无,无,无,婴儿背带（中文）；为蔡太太的一个儿子做的；由黑色和绿色织物组成，红色中心部分融入刺绣几何图案
15,dragon,null,null,null,null,Auckland Museum,null,null,jade/metamorphic rock/rock/inorganic material/AAT Materials,"dragon, carved jade footed ornament.",https://www.aucklandmuseum.com/discover/collections/record/14344?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/119093/dc24297acf785f711e9d90263e54fc6212c04abd.jpg,龙,无,无,无,无,奥克兰博物馆,无,无,玉石/变质岩/岩石/无机材料/AAT材料,龙，玉雕足饰。
22,"coin, Chinese spade",null,null,null,null,Auckland Museum,null,57mm; ,bronze/copper alloy/nonferrous metal/metal/inorganic material/AAT Materials,"Chinese spade coin; square-footed, flat handled Chinese spade coin; coin has square shoulders with a hole in the centre of the handle, coin splits at bottom into two feet; raised border around edges, raised line down centre; four Chinese characters on coin - top left is ""bu"" meaning spade, others undecipherable; shape of coin appears to date to the ""Warring States period"" in ancient China (247 - 221 BC); coin is accompanied by a letter requesting information about the object.",https://www.aucklandmuseum.com/discover/collections/record/604200?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/428465/cd5e25d599db2bfd007e3fdee5ccfab613eb39cd.jpg,硬币，中国铁锹,无,无,无,无,奥克兰博物馆,无,57毫米；,青铜/铜合金/有色金属/金属/无机材料/AAT材料,中国黑桃币；中国扁铲币；硬币有方形肩部，手柄中央有一个洞，硬币底部分成两英尺；边缘周围的凸起边界，中心下方的凸起线；硬币上的四个汉字——左上角是“不”，意思是铲子，其他的无法辨认；硬币的形状似乎可以追溯到中国古代的“战国时代”（公元前247-221年）；硬币上附有一封信，要求提供有关该物品的信息。
36,Jacket,null,null,null,null,Auckland Museum,null,sleeve cuff to sleeve cuff: 1450mm; neck to hemline: 835mm; across chest: 594mm; sleeve: 253mm; neck: 90mm; ,silk (textile)/AAT Materials,Pink satin wide-sleeved jacket. Belonged to Mrs Lillian Choy.,https://www.aucklandmuseum.com/discover/collections/record/738485?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451038/b7e767f55b66d34440017bcaec3f4c2f75464774.jpg,夹克,无,无,无,无,奥克兰博物馆,无,袖带对袖带：1450mm；颈部至下摆：835毫米；胸部：594mm；套筒：253mm；颈部：90mm；,丝绸（纺织品）/AAT材料,粉红色缎面长袖夹克。属于蔡丽莲女士。
39,"back carrier, baby",[1930s],null,null,null,Auckland Museum,null,overall: 2785mm; ,[silk]/AAT Materials; [cotton textile]/AAT Materials,baby back carrier (Chinese); Made for one of Mrs Lillian Choy's sons; comprising of black and green fabric with red centre section incorporating embroidered geometric pattern; Belonged to Mrs Lillian Choy,https://www.aucklandmuseum.com/discover/collections/record/738489?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451032/1cbd06cd902be0b800e22eec9dc64eed7520073c.jpg,婴儿背托,【20世纪30年代】,无,无,无,奥克兰博物馆,无,整体：2785mm；,[丝绸]/AAT材料；[棉纺织品]/AAT材料,婴儿背带（中文）；为蔡太太的一个儿子做的；由黑色和绿色织物组成，红色中心部分融入刺绣几何图案；属于蔡丽莲女士
40,Jacket,null,null,null,null,Auckland Museum,null,sleeve cuff to sleeve cuff: 1450mm; neck to hemline: 835mm; across chest: 594mm; sleeve: 253mm; neck: 90mm; ,silk (textile)/AAT Materials,Pink satin wide-sleeved jacket. Belonged to Mrs Lillian Choy.,https://www.aucklandmuseum.com/discover/collections/record/738485?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451038/b7e767f55b66d34440017bcaec3f4c2f75464774.jpg,夹克,无,无,无,无,奥克兰博物馆,无,袖带对袖带：1450mm；颈部至下摆：835毫米；胸部：594mm；套筒：253mm；颈部：90mm；,丝绸（纺织品）/AAT材料,粉红色缎面长袖夹克。属于蔡丽莲女士。
43,"robe, dragon",[19th Century],null,null,null,Auckland Museum,null,1395mm; ,silk (textile)/AAT Materials; metallic thread/fibre/AAT Materials,"Chinese dragon robe (ch'i-fu): presented to William John Brinsden (horse cab driver) after he rescued a young Chinese man who fell from a ship into Auckland harbour, circa late 1890s.  Some months later someone came to his door and presented the robe as a gift of thanks from the family of the young man.; ; Note: a ch'ao-fu is a formal garment consisting of two parts, an upper hip length riding style coat, and a lower paired overlapping skirt. It was worn only for important sacrificial ceremonies and rituals by members of the Imperial family and high ranking officials.; A ch'i-fu (dragon robe) was worn for all other court occasions and official duties. It is a full length, right front, side fastening garment.; See Margery Blackman, ""Emperor's Court to Village Festival"" Otago Museum catalogue, 1998, p.6. (L.J. July 00)",https://www.aucklandmuseum.com/discover/collections/record/662716?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/438436/bec34e4ae618e60013ab0bdb977eef024f158086.jpg,长袍，龙,[19世纪],无,无,无,奥克兰博物馆,无,1395毫米；,丝绸（纺织品）/AAT材料；金属线/纤维/AAT材料,中国龙袍：约19世纪90年代末，威廉·约翰·布林斯登（马车司机）救下一名从船上掉进奥克兰港的年轻中国男子后赠送给他。几个月后，有人来到他的门前，把这件长袍作为年轻人家人的感谢礼物；注：曹服是一种正式的服装，由两部分组成，一件上齐臀的骑衣和一条下叠裙。它只在重要的祭祀仪式和皇室成员和高级官员的仪式上佩戴。；龙袍是所有其他宫廷场合和公务所穿的。这是一件全长、右前、侧扣的衣服。；参见Margery Blackman，“皇帝的宫廷到乡村的节日”，奥塔哥博物馆目录，1998年，第6页。（L.J.7月00日）
61,"figure, male",Circa 1724; [1763-1774],null,null,null,Auckland Museum,null,282mm; ,porcelain/ceramic/inorganic material/AAT Materials,"figure, Chinese pilgrim, elderly male Chinese pilgrim",https://www.aucklandmuseum.com/discover/collections/record/13184?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/114856/2686ffa1740983a84852a5e0a41551abc533b2b0.jpg,身材，男性,约1724年；[1763-1774],无,无,无,奥克兰博物馆,无,282毫米；,陶瓷/陶瓷/无机材料/AAT材料,人物，中国朝圣者，年长男性中国朝圣者
70,handbill,1950s,null,null,null,Auckland Museum,null,190mm; ,null,"Chinese handbill : 7206 : NZDF : 33391 Major John Mason Spiers. A portrait of a Chinese politician, Sun Wen, 1866 - 1925.",https://www.aucklandmuseum.com/discover/collections/record/774224?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/2585/7bd90ca26e6630915c036d4c014a8fe150202c03.jpg,传单,20世纪50年代,无,无,无,奥克兰博物馆,无,190毫米；,无,中国手球：7206:NZDF:33391约翰·梅森·斯皮尔斯少校。中国政治家孙文的肖像，1866-1925年。
