:START_ID,:END_ID,:TYPE
e0,e24715,年代
e0,e24163,藏品等级
e0,e23822,现藏博物馆
e0,e23831,类型
e1,e24367,年代
e1,e24163,藏品等级
e1,e23822,现藏博物馆
e1,e23574,类型
e2,e23822,现藏博物馆
e2,e24814,藏品材质
e3,e23393,年代
e3,e24163,藏品等级
e3,e23822,现藏博物馆
e3,e24076,类型
e4,e24263,年代
e4,e24163,藏品等级
e4,e23822,现藏博物馆
e4,e23831,类型
e5,e24809,年代
e5,e24163,藏品等级
e5,e23822,现藏博物馆
e5,e23331,类型
e6,e24691,年代
e6,e23822,现藏博物馆
e7,e24572,年代
e7,e24163,藏品等级
e7,e23822,现藏博物馆
e7,e23831,类型
e8,e24773,年代
e8,e24163,藏品等级
e8,e23822,现藏博物馆
e8,e23831,类型
e9,e23771,年代
e9,e24163,藏品等级
e9,e23822,现藏博物馆
e9,e23850,类型
e10,e24263,年代
e10,e24163,藏品等级
e10,e23822,现藏博物馆
e10,e24076,类型
e11,e23673,年代
e11,e24163,藏品等级
e11,e23822,现藏博物馆
e11,e24076,类型
e12,e23473,年代
e12,e24163,藏品等级
e12,e23822,现藏博物馆
e12,e23831,类型
e13,e23474,年代
e13,e24163,藏品等级
e13,e23822,现藏博物馆
e13,e24739,类型
e14,e24073,年代
e14,e24163,藏品等级
e14,e23822,现藏博物馆
e14,e24471,类型
e15,e23822,现藏博物馆
e15,e24785,藏品材质
e16,e23698,年代
e16,e24163,藏品等级
e16,e23822,现藏博物馆
e16,e23904,类型
e17,e23422,年代
e17,e24163,藏品等级
e17,e23822,现藏博物馆
e17,e24076,类型
e18,e24343,年代
e18,e24163,藏品等级
e18,e23822,现藏博物馆
e18,e23904,类型
e19,e24116,年代
e19,e24163,藏品等级
e19,e23822,现藏博物馆
e19,e23831,类型
e20,e24319,年代
e20,e23822,现藏博物馆
e21,e24073,年代
e21,e24163,藏品等级
e21,e23822,现藏博物馆
e21,e24076,类型
e22,e23822,现藏博物馆
e22,e24345,藏品材质
e23,e23673,年代
e23,e24163,藏品等级
e23,e23822,现藏博物馆
e23,e24076,类型
e24,e23793,年代
e24,e23376,藏品等级
e24,e23822,现藏博物馆
e25,e24773,年代
e25,e24163,藏品等级
e25,e23822,现藏博物馆
e25,e23831,类型
e26,e24252,年代
e26,e24163,藏品等级
e26,e23822,现藏博物馆
e27,e23370,年代
e27,e24163,藏品等级
e27,e23822,现藏博物馆
e27,e24076,类型
e28,e23361,年代
e28,e24163,藏品等级
e28,e23822,现藏博物馆
e28,e24739,类型
e29,e24132,年代
e29,e24163,藏品等级
e29,e23822,现藏博物馆
e29,e24076,类型
e30,e23393,年代
e30,e24163,藏品等级
e30,e23822,现藏博物馆
e30,e24504,类型
e31,e24104,年代
e31,e24163,藏品等级
e31,e23822,现藏博物馆
e31,e23831,类型
e32,e24031,年代
e32,e24163,藏品等级
e32,e23822,现藏博物馆
e32,e24739,类型
e33,e24634,年代
e33,e24163,藏品等级
e33,e23822,现藏博物馆
e33,e23831,类型
e34,e24682,年代
e34,e24163,藏品等级
e34,e23822,现藏博物馆
e34,e23831,类型
e35,e24677,年代
e35,e24163,藏品等级
e35,e23822,现藏博物馆
e35,e24076,类型
e36,e23822,现藏博物馆
e36,e24283,藏品材质
e37,e23579,年代
e37,e24163,藏品等级
e37,e23822,现藏博物馆
e37,e23831,类型
e38,e24349,藏品等级
e38,e23822,现藏博物馆
e39,e24691,年代
e39,e23822,现藏博物馆
e39,e24175,藏品材质
e40,e23822,现藏博物馆
e40,e24283,藏品材质
e41,e23673,年代
e41,e24163,藏品等级
e41,e23822,现藏博物馆
e41,e23904,类型
e42,e23465,年代
e42,e24163,藏品等级
e42,e23822,现藏博物馆
e42,e23904,类型
e43,e23746,年代
e43,e23822,现藏博物馆
e43,e24534,藏品材质
e44,e24163,藏品等级
e44,e23822,现藏博物馆
e44,e23831,类型
e45,e24163,藏品等级
e45,e23822,现藏博物馆
e45,e23831,类型
e46,e24572,年代
e46,e24163,藏品等级
e46,e23822,现藏博物馆
e46,e23831,类型
e47,e23825,年代
e47,e24163,藏品等级
e47,e23822,现藏博物馆
e47,e23904,类型
e48,e24012,年代
