id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
0,中国陶艺史,1976,无,Bib记录,无,奥克兰博物馆,常规集合,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1167098?k=chinese,Unknown
1,奥克兰华人社区中心通讯,从2000年代开始的十年？,无,Bib记录,无,奥克兰博物馆,新西兰系列,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1136031?k=chinese,Unknown
2,婴儿合奏,无,无,无,无,奥克兰博物馆,无,裤子长度：308mm；颈部：280mm；胸部：590mm；肩到下摆：397mm；套筒内sam:145mm；袖下摆周长：221mm；腰围：655mm；侧面开叉-真正的左侧，下摆向上：114mm；真正的右侧-下摆到左前开始：135毫米；真右（短）前：152mm；真正的右（较短）前下摆到衣领：200mm；裤腿内缝：151mm；腰带：50mm；前腰至裤腿内缝：122mm；后腰至裤腿内缝：132mm；从下摆向上中央接缝分开：40mm；：440毫米；冠部：136mm；,[丝绸]/AAT材料；黄铜（合金）/铜合金/有色金属/金属/无机材料/AAT材料,婴儿红色缎面长裤、夹克和帽子；帽子上附有黄铜饰品；属于蔡丽莲夫人的一个儿子,https://www.aucklandmuseum.com/discover/collections/record/738488?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451123/ea134f2001aa270f20e03e114536a4a1d3f3249a.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451124/cbfa5dea28bee381c8f83b6b5ad1aa8f4015c3c1.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451125/5127811034272a0bd706f0d00488eae6074e2c44.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451126/f071d51a6d189a36bed93d76b669077b98e2ea23.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451127/724f1c40d279876dfe6c19933f38cd5e17a4625c.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451128/9876920f4bc986f08a86427d095680c3132f6322.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451129/8af9adf2b073696e0138b50c2a14e038e9a112f0.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451130/480604e0fd759152ce569c3647affc2fbe4b6fdc.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451131/9b6582ee487e404fb1decc8fd51396575ee94e65.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451132/0d56b7ea1b8246267282dd84dda26eead758d6b8.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451133/a816dcb727bb5351039348ab750887c912ebf6b9.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451134/9445befa78c5f05d4e5cbdce5cab19e5285947a9.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451135/763e04454eebf665d0d81beeccb70a462b54691d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451136/7d1b40ab5fb8b1c6908f21a28549d37ba01f24da.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451137/a439d8bb74d2639c3308d38c2a093c80528d2d7b.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451138/438e254b1eacd80fb8ed41c6e6f182ea710bb11d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451139/75b5723af675513d34c5dc96974fc2091c0d033c.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451140/11082950dd4177600ae2a33181fbb06fa80b22f5.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451141/5971d76378b9d573d7294733c701d130171f0039.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451142/0cbcb81e52a586be1d97f27e7788b6e7f8577b4f.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451143/6791f0c9ad06e2ea6556edeea4bae731c5b00320.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451144/49f42480cd034099d4a41c70c74f00c14b88d4d1.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451145/8eee2a91e4a3c6e66cfdeeeedf41df10ed4fd81a.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451146/6e125a24427fa1b4366b8d4862d5035a792ad8e5.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451147/a0ba8ea69d855e7b475ba0219e5cf5273c032a6d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451148/4d7776ab4a060034e704b6fc9a4cdc8c5edaa136.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451149/8f06a9f53e7223d8f58a04e6817f84c0f9812e5f.jpg
3,澳大利亚和新西兰的华人：一种多学科的方法,1995,无,Bib记录,无,奥克兰博物馆,阅览室,无,无,“本书所载论文选自1994年9月26日至30日在西澳大利亚大学举行的澳大拉西亚华人定居者和旅行家以及南太平洋研讨会上发表的论文。”-序言。,https://www.aucklandmuseum.com/discover/collections/record/1200756?k=chinese,Unknown
4,长白云之地：中国镜头下的新西兰,2012,无,Bib记录,无,奥克兰博物馆,常规集合,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1141980?k=chinese,Unknown
5,华人安扎克：1885-1919年澳大利亚华裔国防军,Circa 2012,无,Bib记录,无,奥克兰博物馆,Pou Maumahara,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1174363?k=chinese,Unknown
6,婴儿背托,【20世纪30年代】,无,无,无,奥克兰博物馆,无,无,无,婴儿背带（中文）；为蔡太太的一个儿子做的；由黑色和绿色织物组成，红色中心部分融入刺绣几何图案,https://www.aucklandmuseum.com/discover/collections/record/738491?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/451058/a987d0e57066bf0c99ecb536e3ed4368c7fef61d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451059/a3d5c879bd626d86753baf76b0da571d4ce6835f.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451060/2dbff8a248e09aa4187ce57aa8de244fe652aa33.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451061/9c259bba003228f232ed758239430eda22245273.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451062/2ab23b656d3d9a4ec2034331cf7bc375261fbecc.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451063/2ed514112396fc692a369b664fa3fa5163b42ff2.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451064/6144ee74a89e9c38aa80261a24509288533ce535.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451065/6ba60740864147a422c4ddc23450f45bb6e1ffef.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/451066/d25808ddaeac3e57cbc4322642b980207d898c24.jpg
7,中文读者,1972,无,Bib记录,无,奥克兰博物馆,常规集合,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1166731?k=chinese,Unknown
8,中国人民与中国大地,1966,无,Bib记录,无,奥克兰博物馆,常规集合,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1168100?k=chinese,Unknown
9,华人安扎克：1885-1919年在国防军服役的华裔澳大利亚人（修订为包括1914-1919年新西兰远征军的新西兰出生的华人）,2015,无,Bib记录,无,奥克兰博物馆,Pou Maumahara；阅览室,无,无,无,https://www.aucklandmuseum.com/discover/collections/record/1139008?k=chinese,Unknown
