id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
1713,rug,Early 19th Century,Unknown,Unknown,Unknown,Auckland Museum,Unknown,2870 x 1830mm; ,wool thread/thread/AAT Materials; cotton thread/thread/AAT Materials,"rug, Mongolia / China, early 1800's, 12 borders with central repeating pattern",https://www.aucklandmuseum.com/discover/collections/record/66752?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/180779/f13edf831f4820e28d7a7877781f1ea02d63ade6.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180780/477c9823985e8197bd6aedc8a26e38572c82b46e.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180781/d02d62671e7759cd18bcee0c5707f6a63bfa7062.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180782/a781cdb68264e2576a57c4f510c6d1c0986f3312.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180783/3ce3f2360af35648bb44043bc5bf771a09e52e62.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180784/ddacb8d3b2d322ca8801b7c787b2b9c95759b4dd.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/180785/35828b3f99e4a614fe0c9382989d44a81fe275fb.jpg
1671,"trousers, woman's",Circa 1930,Unknown,Unknown,Unknown,Auckland Museum,Unknown,900mm; ,wool (hair)/hair/animal material/AAT Materials; [wool textile]/AAT Materials,"trousers, ladies', wool, dark blue trousers, banded on legs with `blackwork' embroidery and multi-coloured braids.",https://www.aucklandmuseum.com/discover/collections/record/16849?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/128515/658ab8c9dc665be0a6c175ba80c97464c013a447.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128516/62f37e928240beb811a7aca1e70595c0e7b665a1.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128517/9efa3bb828dd5e7627dae94a42af8f60b798e2a6.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128518/c09a1d273a3559b3348c9b3aa9ca18b7b7fd32fe.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128519/cc91b52aa98bab70670fefe8e02352e98334d3bd.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128520/5ac15eafca6e1cec13578fb0d33a7b1afc0e5487.jpg
1699,"trousers, woman's",Circa 1930,Unknown,Unknown,Unknown,Auckland Museum,Unknown,900mm; ,wool (hair)/hair/animal material/AAT Materials; [wool textile]/AAT Materials,"trousers, ladies', wool, dark blue trousers, banded on legs with `blackwork' embroidery and multi-coloured braids.",https://www.aucklandmuseum.com/discover/collections/record/16849?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/128515/658ab8c9dc665be0a6c175ba80c97464c013a447.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128516/62f37e928240beb811a7aca1e70595c0e7b665a1.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128517/9efa3bb828dd5e7627dae94a42af8f60b798e2a6.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128518/c09a1d273a3559b3348c9b3aa9ca18b7b7fd32fe.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128519/cc91b52aa98bab70670fefe8e02352e98334d3bd.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/128520/5ac15eafca6e1cec13578fb0d33a7b1afc0e5487.jpg
1072,Yueqin,Pre 1998,Unknown,Unknown,Unknown,Auckland Museum,Unknown,565mm; ,wood/plant material/AAT Materials; thread/AAT Materials; cord (fiber product)/AAT Materials; nylon/polyamide/thermoplastic/plastic/organic material/AAT Materials,"guitar, moon, wood, circular, four large faceted wood pegs, scroll-like head, nine upright frets on body, one upright fret on neck, three large painted characters on body left of strings, eight small painted characters between frets, thick cord loop through neck, three thread stings, one broken, one nylon string; ; 1   yueh-ch’in;    maker unknown, China, date unknown;    wood, gut, 565 x 352 x 45 mm;    1998.60.189   Castle 289 (presented, Webb, [1980]); ;    The short-necked, flat backed yueh-ch’in is a member of the lute family and its popular name is the moon guitar.; ;    The Castles later recalled that ‘During the visit of the Chinese Classical Theatre company, a primitive Chinese fiddle came to light in Wellington … Undated, it is a peasant type four-string violin played between the knees, not under the chin. The strings are made from fine silk which has been threaded through wax.’",https://www.aucklandmuseum.com/discover/collections/record/56134?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/169133/0c29c316707b1e9fef357f87d92845f710b96326.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/169134/cb3068c0cd92e38073a11b501400e4aaa99ba5e9.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/169135/53410b42abcfbfa24f0c03a6110fd139d71626dd.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/169136/f3a5861685d8cbbc8bcf60dc6924485bfef61a70.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/169137/5961ae9f9bf93538a2266efc7a22654b99c1cf5a.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/169138/313ccd8f362a4701c14a028c8d5f854cc2ae16b9.jpg
1742,Lohan,1368-1644,Unknown,Unknown,Unknown,Auckland Museum,Unknown,from aa catalogue card: 1092mm; ,wood/plant material/AAT Materials; stone/rock/inorganic material/AAT Materials,"Seated Lohan holding pearl, traces of gesso and decoration remaining, missing hand reinstated.  This is one of 260 pieces presented by Captain George A Humphreys-Davies. Humphrey’s-Davies (born circa 1888, England – died December 1948, Cannes, France) was a farmer, collector of Eastern ceramics, jades, bronzes and Japanese prints. Educated at Oxford and served with the 2nd Life Guards in the First World War. Post war he saw service in India before coming to Auckland to farm and live at Freshwater, Kawakawa Bay in the early 1920s. A genuine connoisseur and keenly interest in every phase of art, he became a valued supporter of the activities of Auckland Museum. Through the years he acquired a very fine collection of works of eastern art and presented a collection of Chinese pottery figures to the museum.",https://www.aucklandmuseum.com/discover/collections/record/2721?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/154725/215f727c8919f9c0069ea3a0db46fa5a17b8cc06.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/154726/184da085b38602512a213d3659477f40eb21a6f8.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/154727/f92b39784b810dbe052e31b0df145903ca50e353.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/154728/b9b6b3357b81df8a6e3f51f882f7a4e52b8b14b4.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/154729/eda81f92aeb5ec5c7bc3546bed325a4ab50a0b94.jpg
515,drum,[24 May 1941],Unknown,Unknown,Unknown,Auckland Museum,Unknown,base: 405mm; base: 1265mm; across drumhead: 450mm; central section: 1565mm; at top section: 1468mm; ,wood/plant material/AAT Materials; steel/iron alloy/metal/inorganic material/AAT Materials; metal/inorganic material/AAT Materials; cotton (textile)/AAT Materials; cotton (textile)/AAT Materials; paint/coating (material)/AAT Materials; paint/coating (material)/AAT Materials,"large drum used by Chinese musicians during WW2 'V for Victory' fund raising parade held in Auckland on 25 July 1941. The drum has some dates written inside, one is from 1941. The drum is made from a D & J McCallum, Edinburgh barrel possibly specifically for the parade; there are Chinese characters on the barrel with 4 small round holes cut through the base.",https://www.aucklandmuseum.com/discover/collections/record/1014726?k=chinese,Unknown
1551,stamp,Unknown,Unknown,Unknown,Unknown,Auckland Museum,Unknown,85mm; ,wood/plant material/AAT Materials; rubber/gum resin/resin/organic material/AAT Materials,"stamp; broad, flat wooden stamp with nine Chinese characters in rubber; ""Davis-Goff"" stamped over sides of stamp in blue ink (10 times); top edge of stamp painted and printed with corresponding characters",https://www.aucklandmuseum.com/discover/collections/record/656302?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/435356/a1d1dca0938914d4e13dc768674169e4ed34e231.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435357/a3b557b31d78976030db4f925b9e05c93ecd0cdd.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435358/85ec35608cb69aa1b140d7d54072e4c1ca6692b0.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435359/96487f5f9a9d17618dacf669c17ab8fef9a9cbb6.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435360/6ee03082eb1f00e99863d617498b05440778b650.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435361/58353363c7bd382f2d3302cf8886971d05c073ed.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435362/668134a248dd2829a9fe0c1d9c189548b716a73e.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/435363/06c9da189bda659f5a5cccacf92b5ba0ccc28868.jpg
1283,drum,Pre 1998,Unknown,Unknown,Unknown,Auckland Museum,Unknown,132mm; ,wood/plant material/AAT Materials; rawhide/animal material/AAT Materials; iron/metal/inorganic material/AAT Materials,"drum, hand painted  floral pattern on all surfaces, wood with hide either side of body, iron studs holding hide in place; ; 1   drum;    maker unknown, China, date unknown;    wood, metal, vellum, 132 dia x 66 mm;    1998.60.72   Castle 116 (loan Kwok); ;    This small drum was presented to the collection by a Wellington Chinese family in the 1970s and was described at the time as being ‘an antique’.",https://www.aucklandmuseum.com/discover/collections/record/55861?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/168422/41c8d948dd527a4c0f2a5247d68919b7ce6052e1.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/168423/46f8f2301617b592cff6fe672b1b5bf6c5d0665b.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/168424/9bf746624f070bd6fb7d4d88718f11ed0775534b.jpg
2543,jar and lid,1662-1722,Unknown,Unknown,Unknown,Auckland Museum,Unknown,"with lid, from applied arts catalogue card: 200mm; without lid, from applied arts catalogue card: 190mm; : 169mm; mouth: 58mm; base: 86mm; ",wood/plant material/AAT Materials; porcelain/ceramic/inorganic material/AAT Materials; [glaze]/coating (material)/AAT Materials,"Porcelain jar, blue and white decoration showing flowering lotus and peony sprays with birds.",https://www.aucklandmuseum.com/discover/collections/record/2744?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/155305/4677f80acf5565d17ad8fb695ce271d4ce0dff21.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155306/6be3be463a060e7724945c2950c9be1b84ba2d1b.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155307/af29eb905914498fc2ba910e1e624f7d6a8be740.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155308/f68b3d82f8c8fa0b06edb0f39b07c5ddc3f680fe.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155309/b1cc4207de69ee7864150385b1f0e6e8e91d9c71.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155310/a0487af2f4c103f2304545208406e2ad36264a1b.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155311/b99b6961bcf7551fea72b45c6f55952d6a8cdf05.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155312/f24777b44da28c9f531846e932b2b8daf057131c.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155313/39f18e66c1612be847ca5a58e200bf69aec93a4d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155314/ab3015b827c5736cde4a4eadd233118f307431e5.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155315/136eba527c3f17b06a439cf6cafef4490350258e.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155316/6892d2e8b4759e370b8917dec81fbf7b377716af.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155317/8f238b9069fee4fc0fa226fc5ee517036bc30437.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/155318/af19ec1f2fc62082e90a54e13e9ba2c7c953163c.jpg
601,Pulou,Unknown,Unknown,Unknown,Unknown,Auckland Museum,Unknown,215mm; ,wood/plant material/AAT Materials; pandanus (leaf)/leaf (plant material)/plant material/AAT Materials; [bamboo]/grass/plant material/AAT Materials; [wool textile]/AAT Materials; elastic/trimming (material)/AAT Materials,"Pulou. Hat. This a handwoven pulou. The brim of this pulou is made of a thin piece of wood that has been curved to form a large circle. On the inside of the brim is a series of three circles made of ofe (bamboo), each decreasing in size the closer they are to the crown. The four circular pieces that make up the brim are connected by four strips of ofe that connect at the tip of the crown. This frame forms a conical shape reminiscent of Chinese origin. The frame is then covered with strips of ofe that have been woven using a cross-hatching technique. The frame is also covered roughly by strips of pandanus to cover the small holes between the woven ofe. The outer surface of the pulou has been stained a dark brown, nearly black, colour. The underside of the pulou reveals the true brown colour of the materials used as well as the weaving techniques used to create it. Where the crown meets the brim is yet another circle of woven bamboo that is attached perpendicular to the pulou. This circle acts as a headband that allows the conical pulou to sit comfortably on the wearers head. Attached also to the underside of the pulou are two chinstraps. The smaller of the two straps is made of a black elastic string. While the larger of the two straps is made of wool that has been fili (braided) using a fili lua (two ply braid) technique. This pulou is indicative of the migration of Chinese to Samoa in the late 1800's. A pulou such as this would have been worn as protection from both the sun and rain.",https://www.aucklandmuseum.com/discover/collections/record/507825?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/357493/7debad0661f80dce9d4f09834bbb552e89ca632d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357494/f24a60ae69dcd3016910797288646a2b14a874ba.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357495/af0759cbe53f75aa9e392611ac4b6dde8d62dfbb.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357496/a11836076d26834081668bfd7806f0886f70e905.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357497/608f23d31ab9653fac09f88e5798c3d3b6c1f875.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357498/de5c2ec93ccdd2c12c130ba90fbf20e1bc9b56fe.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357499/ae7c29e07cf2e3cbb642a382bc0e524dcf61c9c3.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357500/21a4c63745f60aa7772a0c52e5e03ae78cfd382c.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357501/d6ca91f5db5580251f595c1c919c2b441d4daaba.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357502/6df8cb309419ede3f17cc19a88bcf41e5d4a840f.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357503/211db01fc7b38848a558e5bd8d6f70fdb271ee3f.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357504/b4b4149cc8fecf9382d3ff9b8f82ff5bc6710bcc.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357505/92a395b77893b02b29904e6617affa15f5de8e5d.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357506/d3b8cbd54f6e4352258742c5e763705a6c6358f8.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357507/cfd8abf7c13e251f603a5903390cc65138444363.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357508/0f24011b6579955a002a488c7ac74325abe179d0.jpg; https://collection-api.aucklandmuseum.com/records/images/medium/357509/ab57910465e51424778fc1bdc7d3e9cc2bf57cba.jpg
