id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
0,三彩狮形座枕,宋,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681088168431616,https://www.chnmus.net/webfile/collection_img/_44922_/41000002_44922_A_1.JPG
1,白釉莲瓣碗,辽,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066680004351889408,https://www.chnmus.net/webfile/collection_img/_40040_/41000002_40040_A_1.JPG
2,青花牡丹纹碗,明,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066679977512538112,https://www.chnmus.net/webfile/collection_img/_39980_/41000002_39980_A_1.JPG
3,观音菩萨坐像,明,未知,普通,未知,河南博物院,雕塑造像,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066679141017325568,https://www.chnmus.net/webfile/collection_img/_38414_/41000002_38414_A_1.JPG
4,“安阳”平肩布,战国,未知,普通,未知,河南博物院,货币,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066676651614015488,https://www.chnmus.net/webfile/collection_img/_34449_/41000002_34449_A_1.JPG
5,同治款粉青釉八卦琮式瓶,清,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066674879285694464,https://www.chnmus.net/webfile/collection_img/_15545_/41000002_15545_A_1.JPG
6,白釉瓷羊,宋,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066674800982233088,https://www.chnmus.net/webfile/collection_img/_13824_/41000002_13824_A_1.JPG
7,白釉青花牡丹纹罐,清,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066673748677496832,https://www.chnmus.net/webfile/collection_img/_6641_/41000002_6641_A_1.JPG
8,酱釉瓶,唐,未知,普通,未知,河南博物院,瓷器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066673693660811264,https://www.chnmus.net/webfile/collection_img/_6557_/41000002_6557_A_1.JPG
9,开元通宝钱,唐,未知,普通,未知,河南博物院,货币,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066671880559661056,https://www.chnmus.net/webfile/collection_img/_4132_/41000002_4132_A_1.JPG
10,“货布”布币,汉,未知,普通,未知,河南博物院,货币,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066671715417329664,https://www.chnmus.net/webfile/collection_img/_3909_/41000002_3909_A_1.JPG
11,金簪,明,未知,普通,未知,河南博物院,金银器,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066670321536864256,https://www.chnmus.net/webfile/collection_img/_153_/41000002_153_A_1.JPG
12,马蹄金,汉,未知,普通,未知,河南博物院,货币,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066670313831927808,https://www.chnmus.net/webfile/collection_img/_138_/41000002_138_A_1.JPG
13,米文杰国画《炊烟清不断》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681213192245248,https://www.chnmus.net/webfile/collection_img/_45437_/41000002_45437_A_1.JPG
14,李铁映国画《天下牡丹在洛阳占尽春色不让人》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681214052077568,https://www.chnmus.net/webfile/collection_img/_45438_/41000002_45438_A_1.JPG
15,李铁映等国画《春风第一枝》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681214790275072,https://www.chnmus.net/webfile/collection_img/_45439_/41000002_45439_A_1.JPG
16,王林国画《喜庆罗汉》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681212437270528,https://www.chnmus.net/webfile/collection_img/_45436_/41000002_45436_A_1.JPG
17,王林国画《有容乃大》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681211594215424,https://www.chnmus.net/webfile/collection_img/_45435_/41000002_45435_A_1.JPG
18,王林国画《福寿绵长》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681210902155264,https://www.chnmus.net/webfile/collection_img/_45434_/41000002_45434_A_1.JPG
19,汤立国画《兰花小鸟》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681210096848896,https://www.chnmus.net/webfile/collection_img/_45433_/41000002_45433_A_1.JPG
20,舒春光国画《秋色》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681208477847552,https://www.chnmus.net/webfile/collection_img/_45431_/41000002_45431_A_1.JPG
21,汤立国画《独立苍茫》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681209278959616,https://www.chnmus.net/webfile/collection_img/_45432_/41000002_45432_A_1.JPG
22,王建民工笔画《虎威雄风》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681206162591744,https://www.chnmus.net/webfile/collection_img/_45428_/41000002_45428_A_1.JPG
23,舒春光国画《瀚海欢歌》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681207706095616,https://www.chnmus.net/webfile/collection_img/_45430_/41000002_45430_A_1.JPG
24,舒春光国画《高原之行》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681206909177856,https://www.chnmus.net/webfile/collection_img/_45429_/41000002_45429_A_1.JPG
25,尹朝阳油画《辐射》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681204321292288,https://www.chnmus.net/webfile/collection_img/_45305_/41000002_45305_A_1.JPG
26,“天圣元宝”钱,战国,未知,普通,未知,河南博物院,货币,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681205466337280,https://www.chnmus.net/webfile/collection_img/_45333_/41000002_45333_A_01.JPG
27,刘万林国画《一苇渡江》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681200059879424,https://www.chnmus.net/webfile/collection_img/_45299_/41000002_45299_A_1.JPG
28,罗镜泉国画《荷塘新雨》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681200739356672,https://www.chnmus.net/webfile/collection_img/_45300_/41000002_45300_A_1.JPG
29,师行坤国画《鹤寿图》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681203532763136,https://www.chnmus.net/webfile/collection_img/_45304_/41000002_45304_A_1.JPG
30,时全兴国画国画《云影入山山入梦》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681202748428288,https://www.chnmus.net/webfile/collection_img/_45303_/41000002_45303_A_1.JPG
31,罗镜泉国画《雄风》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681201385279488,https://www.chnmus.net/webfile/collection_img/_45301_/41000002_45301_A_1.JPG
32,时全兴国画《云涌太行秋无际》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681202060562432,https://www.chnmus.net/webfile/collection_img/_45302_/41000002_45302_A_1.JPG
33,傅智明国画《石人山》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681198696730624,https://www.chnmus.net/webfile/collection_img/_45297_/41000002_45297_A_1.JPG
34,江立社国画《秋野无尘》轴,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681195962044416,https://www.chnmus.net/webfile/collection_img/_45293_/41000002_45293_A_1.JPG
35,牛宝成国画《竹林七贤图》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681197400690688,https://www.chnmus.net/webfile/collection_img/_45295_/41000002_45295_A_1.JPG
