id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
0,中国瓷盘,乾隆时期（1736-1795年）（中国->清朝（1644-1911年）），约1730年,中国，景德镇车间？,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,直径：20.5厘米；高度：3厘米,瓷器,一个女人坐在花园里的历史场景。一个孩子坐在凳子上摘树枝。前景是一只兔子。在马利，三根开花的树枝。,https://collections.louvre.fr//en/ark:/53355/cl010102137,https://collections.louvre.fr//media/cache/small/0000000021/0000102137/0000877427_OG.JPG
1,中国蛋壳瓷盘，K'ien Long时代（？）,乾隆时代（1736-1795）（中国->清朝（1644-1911））（？）,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,带附件的高度：3.8厘米（外形尺寸）；带附件的直径：20.6厘米（外形尺寸）,瓷器,金色背景上的灰色装饰。中心是金色背景上的玫瑰。马利，丝带和花。红色和金色边框。,https://collections.louvre.fr//en/ark:/53355/cl010106250,https://collections.louvre.fr//media/cache/small/0000000021/0000106250/0000192025_OG.JPG
2,中国瓷盘,永正时期（1723-1735年）（中国->清朝（1644-1911年）），1700-1800年,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,高度：4.5厘米；直径：24.8厘米,瓷器,白色背景上的多色装饰。在中心，风格化的水果枝。马利，李子，竹子和松树。背面的camé印章标记,https://collections.louvre.fr//en/ark:/53355/cl010102129,https://collections.louvre.fr//media/cache/small/0000000021/0000102129/0000192039_OG.JPG
3,中国瓷盘,乾隆时代（1736-1795）（中国->清朝（1644-1911））,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,高度：47厘米；直径：21.3厘米,瓷器,三个骑士和许多女士。蓝色背景的主边框，金色装饰。背面是三枝蓝色的花。,https://collections.louvre.fr//en/ark:/53355/cl010102142,https://collections.louvre.fr//media/cache/small/0000000021/0000102142/0000192069_OG.JPG
4,中国瓷盘,乾隆时代（1736-1795）（中国->清朝（1644-1911））,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,高度：3.3厘米；直径：20.3厘米,瓷器,白色背景上的多色装饰：两个女人在亭子里钓鱼。在底部，一名男子在船上吹长笛。背面的花。,https://collections.louvre.fr//en/ark:/53355/cl010106272,https://collections.louvre.fr//media/cache/small/0000000021/0000106272/0000192060_OG.JPG
5,中国瓷盘,乾隆时代（1736-1795）（中国->清朝（1644-1911））,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,带附件的高度：4厘米（外形尺寸）；带附件的直径：20.7厘米（外形尺寸）,瓷器,三个骑士和许多女士。蓝色背景的主边框，金色装饰。背面是三枝蓝色的花。,https://collections.louvre.fr//en/ark:/53355/cl010114692,https://collections.louvre.fr//media/cache/small/0000000021/0000114692/0000192067_OG.JPG
6,中国瓷花瓶,路易十五（1715-1774）（西方->现代=古代政权->波旁王朝），1685-1715年,无,无,中国（亚洲->东亚=远东）,罗浮宫,花瓶、容器,高度：80厘米；宽度：35厘米,青铜（镀金）、瓷器（中国瓷器、绿色家族）,花卉和鸟类灌木的装饰。颈部和脚部框架采用雕刻和镀金青铜，带有饰条和装饰叶。路易十五时代。,https://collections.louvre.fr//en/ark:/53355/cl010107398,https://collections.louvre.fr//media/cache/small/0000000021/0000107398/0001131839_OG.JPG
7,中国蛋壳瓷盘。,乾隆时代（1736-1795）（中国->清朝（1644-1911））,无,无,中国（亚洲->东亚=远东）,罗浮宫,盘子,高度：3.5厘米；直径：19.7厘米,瓷器,红宝石反面，多色背景。花卉景观中的三只公鸡。,https://collections.louvre.fr//en/ark:/53355/cl010102122,https://collections.louvre.fr//media/cache/small/0000000021/0000102122/0000192026_OG.JPG
8,中国大瓷碗,乾隆时期（1736-1795年）（中国->清朝（1644-1911年）），约1730-1740年,无,无,中国（亚洲->东亚=远东）,罗浮宫,碗,高度：8.8厘米；直径：19.5厘米（最大）,瓷器,白色背景上的多色装饰。室内以青蛙蛋为背景的花卉装饰，四个储藏室装饰有花瓶和各种物品。内部，在中心，一个开花的分支。粉红色和蓝色多色边框，带有花卉储备。1730-1740年先验（而不是19世纪）,https://collections.louvre.fr//en/ark:/53355/cl010103814,https://collections.louvre.fr//media/cache/small/0000000021/0000103814/0001229858_OG.JPG
9,中国瓷短号花瓶,乾隆时代（1736-1795）（中国->清朝（1644-1911））,无,无,中国（亚洲->东亚=远东）,罗浮宫,花瓶,高度：18.7厘米；直径：9.8厘米（最大）,陶瓷、瓷器,浮雕装饰，两只龙。,https://collections.louvre.fr//en/ark:/53355/cl010105650,https://collections.louvre.fr//media/cache/small/0000000021/0000105650/0001228048_OG.JPG
