id,id_collection,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
0,1,弩机,秦,一级文物,,长15.3厘米，宽3.5厘米，高16.2厘米；重0.800千克,其他,,https://www.sxhm.com/collections/detail/410.html,https://www.sxhm.com/Uploads/Picture/2021/11/11/s618c7eba48d28.png
1,2,旟鼎,西周,一级文物,1972年眉县杨家村铜器窖藏出土,通高77厘米，口径56.5厘米，重78.5公斤,铜器,"内壁共铸铭文四行，28字，大意是说：某年八月初，王姜将原赐予师栌的土地收回，转赐给旟，旟便做此鼎纪念。铭文反映了“普天之下，莫非王土；率土之滨，莫非王臣”的土地占有制形态。承袭商代圆鼎风格，造型厚重庄严，纹饰十分精美，口沿下方饰有兽面纹，以雷纹为底纹（雷纹是一种带有方折角的回旋曲线）。
西周时期，统治者为了巩固政权，实行分封制，将人民和疆土，分封给各诸侯国，周天子是最高的土地所有者，可以将土地和耕种土地的人，任意赐给他的下属，也有权将土地收回，其臣属对君王所赐的土地只有使用权而没有所有权。旟鼎内壁的铭文是研究西周初期土地制度的重要资料，具有珍贵的历史及艺术价值，同时铭文铸刻时代明确，被公认为周康王时的断代标准器。",https://www.sxhm.com/collections/detail/411.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba95b44034.png
2,3,陶骑马乐俑（吹号角）,十六国,一级文物,,长36厘米，高39厘米；重3.210千克,陶器,,https://www.sxhm.com/collections/detail/412.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9623ac3e1.png
3,4,玉辟邪,汉,一级文物,,长8.1厘米，高3.9厘米；重0.176千克,玉石器,,https://www.sxhm.com/collections/detail/413.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b96fbc457d.png
4,5,北魏彩绘骑马武士俑,南北朝,一级文物,,通高37.8厘米，长33.5厘米；重3.129千克,雕塑造像,,https://www.sxhm.com/collections/detail/414.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba4cc256d5.png
5,6,“升平十三年”错金泥筩,十六国·前凉,一级文物,,高11.9厘米，口径7.8厘米；重0.682千克,其他,,https://www.sxhm.com/collections/detail/415.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b993c98c6d.png
6,7,十字形高髻女俑,北魏,一级文物,,高32厘米；重1.095千克,雕塑造像,,https://www.sxhm.com/collections/detail/416.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b97daecb56.png
7,8,鎏金佛菩萨三尊铜造像,东魏,一级文物,,高35.2厘米，宽22.5厘米；重2.729千克,雕塑造像,,https://www.sxhm.com/collections/detail/417.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9811f090d.png
8,9,“神平三年”鎏金弥勒像,南北朝,一级文物,,高40.6厘米，宽13厘米；重3.340千克,雕塑造像,,https://www.sxhm.com/collections/detail/418.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b98462da70.png
9,10,唐鎏金铜铺首,唐,一级文物,,直径15.5厘米；重0.907千克；,铜器,,https://www.sxhm.com/collections/detail/419.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b99711ec47.png
10,11,豹纹瓦当,战国,一级文物,,径12.5厘米；重0.300千克；,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/420.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba1cf36d94.png
11,12,唐列戟图,唐,一级文物,,长141厘米，宽164厘米；重50.000千克；,壁画,,https://www.sxhm.com/collections/detail/421.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b998d2f85a.png
12,13,尖底瓶,新石器时代,一级文物,,高４０厘米，口径５.５厘米；重2.100千克；,陶器,,https://www.sxhm.com/collections/detail/422.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b97fd944c5.png
13,14,兽面纹壶,新石器时代,一级文物,,高２８厘米，口径２厘米，底径８厘米，腹径１５厘米；重1.320千克；,陶器,,https://www.sxhm.com/collections/detail/423.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b990100d9c.png
14,15,铜剑,秦,一级文物,,长91.5厘米，宽3.1厘米；重0.675千克；,铜器,,https://www.sxhm.com/collections/detail/424.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba1dd98757.png
15,16,唐彩绘双环望仙髻女舞俑,唐,一级文物,,高39.8厘米；重0.912千克；,陶器,,https://www.sxhm.com/collections/detail/425.html,https://www.sxhm.com/Uploads/Picture/2021/11/16/s619371613060a.png
16,17,跪射俑,秦,一级文物,,高111厘米；重80.000千克；,雕塑造像,,https://www.sxhm.com/collections/detail/426.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba1eba1eb5.png
17,18,人面鱼纹盆,新石器时代,一级文物,,高22厘米，口径44厘米；重3.366千克；,陶器,,https://www.sxhm.com/collections/detail/427.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b998a058ef.png
18,19,彩绘雁鱼灯,汉,一级文物,,高53.5厘米，长34厘米；重4.978千克,铜器,,https://www.sxhm.com/collections/detail/428.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b5fd9b56.png
19,20,“上林”铜鉴,汉,一级文物,,通耳高47.5厘米，口径65厘米，腹深38厘米，底径33.5厘米；重35.220千克,铜器,,https://www.sxhm.com/collections/detail/429.html,https://www.sxhm.com/Uploads/Picture/2021/11/21/s619a1c31813ba.png
20,21,彩绘跽坐女俑,汉,一级文物,,高33厘米；重3.849千克,雕塑造像,,https://www.sxhm.com/collections/detail/430.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9bbd1cda5.png
21,22,玉五铢,汉,一级文物,,直径2.45厘米，孔径0.8厘米，厚0.2厘米；重0.002千克,玉石器,,https://www.sxhm.com/collections/detail/432.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9c0313216.png
22,23,四神规矩纹铜镜,汉,一级文物,,直径16.5厘米；重0.630千克,铜器,,https://www.sxhm.com/collections/detail/433.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9c28e4266.png
23,24,三彩梳妆女坐俑,唐,一级文物,,通高48.5厘米；重2.645千克；,陶器,,https://www.sxhm.com/collections/detail/434.html,https://www.sxhm.com/Uploads/Picture/2021/11/16/s61937178d4134.png
24,25,玉璋,新石器时代,一级文物,,长48.3厘米，宽8厘米，厚1厘米；重0.408千克；,玉石器,,https://www.sxhm.com/collections/detail/435.html,https://www.sxhm.com/Uploads/Picture/2021/11/19/s61971acc2a3df.png
25,26,青铜鹅,秦,一级文物,,高92厘米，长97厘米，底座宽46厘米，长35厘米；重26.000千克；,铜器,,https://www.sxhm.com/collections/detail/436.html,https://www.sxhm.com/Uploads/Picture/2021/11/11/s618cb4255806d.png
26,27,鎏金铁芯铜龙,唐,一级文物,,高34厘米，长28厘米；重2.800千克；,铜器,,https://www.sxhm.com/collections/detail/437.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9ab2391cb.png
27,28,陶壶,西周,一级文物,,通高40.3厘米，口径9.7厘米；重3.347千克；,陶器,,https://www.sxhm.com/collections/detail/438.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9ad43f3ed.png
28,29,独孤信多面体煤精组印,西魏,一级文物,1981年陕西省旬阳县出土 ,高4.5厘米，宽4.35厘米，重7.57克,其他,"这枚印章是由26个大小不一的正方形和三角形组成的多面体，其中14个正方形印面上刻着规范的楷书阴文。印章由煤精刻制而成，煤精也称煤玉，是褐煤的一种变种，以低等植物为主，也有部分高等植物遗体组成的腐植腐泥混合煤。这枚印章的主人是西魏八柱国之一、鲜卑族上层人物独孤信，原名独孤如愿。
印文的内容可分为三大类：公文用印，如“大都督印”、“大司马印”、“柱国之印”、“令”、“密”等；上书用印，如“臣信上疏”、“臣信上章”等；书简用印，如“独孤信白书”、“信启事”等。多面体印章使得这位身兼数职的独孤信使用起来十分方便。独孤信不仅自身战功赫赫，他的女儿也很有名。他有7个女儿，其中大女儿嫁给了北周的明帝，成为周明敬后；七女儿嫁给了隋开国皇帝杨坚，是历史上以嫉妒著称的隋文献后；四女儿嫁给了唐代开国皇帝李渊的父亲。因此他作了连续三个朝代的国丈或太上国丈，所以人们戏称他为“中国古代第一老丈人”。不过正因为有此渊源，所以隋唐两代最高统治者身上都流淌有少数民族的血液，因此大唐盛世吸纳各方精髓、接受异族文化就没有太多的心理障碍，这也成为隋唐两代社会开放、民族平等的前提之一。",https://www.sxhm.com/collections/detail/439.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9af2a3267.png
29,30,西周碳化高粱,周,一级文物,,2厘米×0.8厘米；重0.031千克；,其他,,https://www.sxhm.com/collections/detail/441.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b1a77d0c.png
30,31,秘色瓷五曲花口盘,唐,一级文物,,高4.6厘米，口径25厘米；重0.694千克；,瓷器,,https://www.sxhm.com/collections/detail/442.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b5608de6.png
31,32,牛尊,周,一级文物,,通高24厘米，长38厘米，腹深10.7厘米；重6.750千克；,铜器,,https://www.sxhm.com/collections/detail/443.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b555556e.png
32,33,四鸾衔绶纹金银平脱镜,唐,一级文物,,直径22.9厘米，厚0.3-0.6厘米；重1.464千克；,铜器,,https://www.sxhm.com/collections/detail/444.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b974e23b.png
33,34,饕餮纹四足鬲,商,一级文物,,高22.8厘米，口径21厘米，腹深16厘米；重4.750千克；,铜器,,https://www.sxhm.com/collections/detail/445.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9b96273e9.png
34,35,多友鼎,西周,一级文物,1980年陕西长安斗门镇出土,通高51.5厘米，口径50厘米，腹深31厘米，重35千克,铜器,"青铜器发展到西周中晚期，形制逐渐趋向定制，尤其在进入晚期以后，各类铜器都进入了整齐划一的时代。以青铜鼎为例，这一时期的青铜鼎主要只有两种形制。一种是克鼎类，主要特征是盆形体，腹宽大而呈扁体形，蹄足上部一般有兽面装饰，装饰纹样一般为环带纹和窃曲纹，散伯车父鼎属于此类；另一种为毛公鼎形，主要以半球形体、蹄足为特征，装饰纹样简单，一般仅以弦纹、重环纹或窃曲纹装饰，多友鼎就属于这一类。
多友鼎，半球形体，器腹较深，蹄足。装饰花纹简单，仅在器腹上部装饰两道弦纹。器内壁有铭文二百七十余字，是建国以来陕西地区出土铭文最多的青铜器之一。铭文记载的是西周厉王时期与猃狁的一场战争。猃狁此次入侵危及京畿腹地，厉王命令武公派遣多友率兵迎击，激战半个月，先后在采阝、龚、世、杨冢等地战斗，共打了四次大仗，都取得了胜利。杀掉敌军三百余人，俘获二十多人，缴获战车一百二十七辆，夺回了被掳去的人民，将猃狁逐出了周境。武公将多友的战绩报告给了厉王，厉王给予以多友重赏，赐给多友青铜一百多钧。多友特铸此鼎以纪念这件事情。
西周晚期的青铜器铭文，许多都记载着周人反击猃狁的事件。猃狁是西周时期北方地区重要的民族之一，与西周王朝经常发生战争。当时的猃狁是西北主要的边患，时常侵扰周，劫掠财物、人口，严重威胁着周王朝的统治。
在铭文中涉及到猃狁的铜器中，多友鼎是最为重要的一件。这篇铭文对战争的原因、过程以及结果都进行了详细的介绍。这些资料对研究西周晚期的历史、西周晚期同北方少数民族的关系及古文字研究、历史地理研究等都有重要的参考价值。",https://www.sxhm.com/collections/detail/446.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba93522b65.png
35,36,三彩胡人牵马俑,唐,一级文物,,高38.7厘米；重0.685千克；,陶器,,https://www.sxhm.com/collections/detail/448.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9bdb314d8.png
36,37,方形圆孔铜建筑构件,秦,一级文物,,长21.2厘米，宽21.2厘米，高11.6厘米,铜器,,https://www.sxhm.com/collections/detail/449.html,https://www.sxhm.com/Uploads/Picture/2021/11/17/s6194bb1cc758b.png
37,38,五孔玉刀,新石器时代,一级文物,,长77厘米，宽32.4厘米，厚0.9厘米，孔径1.6厘米；重4.165千克；,玉石器,,https://www.sxhm.com/collections/detail/450.html,https://www.sxhm.com/Uploads/Picture/2021/11/17/s6194b361f25ee.png
38,39,玉组佩,西周,一级文物,,总长72厘米；重0.105千克；,玉石器,,https://www.sxhm.com/collections/detail/451.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9c4b0dd40.png
39,40,金怪兽,战国至西汉,一级文物,,高15厘米；重0.220千克,金银器,,https://www.sxhm.com/collections/detail/452.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9c9a43ff7.png
40,41,银虎,战国至西汉,一级文物,,长11.5厘米，宽7.2厘米；重0.088千克,金银器,,https://www.sxhm.com/collections/detail/454.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9cdee9313.png
41,42,灰陶男立俑,元,一级文物,,高29厘米；重0.766千克；,雕塑造像,,https://www.sxhm.com/collections/detail/455.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9c9ec5c69.png
42,43,青铜龙,战国,一级文物,,长2.3米；重75.000千克；,铜器,,https://www.sxhm.com/collections/detail/456.html,https://www.sxhm.com/Uploads/Picture/2021/11/11/s618cb401b1194.png
43,44,陶骑马俑,元,一级文物,,通高42厘米，长36厘米；重3.696千克；,雕塑造像,,https://www.sxhm.com/collections/detail/457.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9d0f8f9ca.png
44,45,幻方铁板,元,一级文物,,长14厘米，宽14厘米；重1.317千克；,铁器及其他金属器,,https://www.sxhm.com/collections/detail/458.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9d5a5e475.png
45,46,铜方升,秦,一级文物,,柄长13厘米，口边长14厘米，底边长12.5厘米，高5.5厘米；重0.760千克；,其他,,https://www.sxhm.com/collections/detail/459.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba236e254f.png
46,47,陶相扑俑,金,一级文物,,高29.4厘米；重2.292千克；,陶器,,https://www.sxhm.com/collections/detail/460.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618b9da95d848.png
47,48,陶马,秦,一级文物,,长211厘米，最高168厘米；重290.000千克；,陶器,,https://www.sxhm.com/collections/detail/461.html,https://www.sxhm.com/Uploads/Picture/2021/11/11/s618cb3eac4c98.png
48,49,黑釉“油滴”碗,宋,一级文物,陕西渭南出土,高8.5cm，口径30cm，底径10.6cm,瓷器,灰白胎。敞口，腹由口至底渐收，圈足。黑釉。碗内有因窑变形成的油滴状结晶体。油滴釉碗出土较多，但如此大口径的油滴碗并不多见。,https://www.sxhm.com/collections/detail/462.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba9e52edb0.png
49,50,皇后玉玺,汉,一级文物,1968年陕西省咸阳市韩家湾狼家沟出土,边长2.8厘米，高2厘米，重0.033千克,玉石器,"国宝级文物。玉玺印面为正方形，上雕一只螭（chī）虎形象做纽，四面刻有云纹，印面篆书“皇后之玺”四个字，书体流畅，刀法自然娴熟，可见当时的篆刻艺术已达到了高超的水平。此玉玺质地为新疆和田的羊脂玉，温润洁白、有着凝脂般的光泽，极具观赏性。
我国最早的印章实物发现于安阳殷墟，是商代晚期物品。秦统一后，确立玺印制度，规定帝后印章称“玺”，其余均称“印”。据《汉官旧仪》记载：“皇帝六玺，皆白玉螭虎钮。”还记载：“皇后之玺，文与帝同。皇后之玺，金螭虎钮。”螭虎是一种神话动物，像龙有耳无角，用螭虎做钮表示君临天下，威服臣官的绝对权威。从这件“皇后之玺”的质地、钮式和文字来看，应该是属于西汉的物品。又因它的出土地点距汉高祖和皇后吕雉合葬墓东侧有一千米，由此推测它很可能是吕后生前所用的印章。“皇后之玺”是迄今发现唯一的汉代皇后玉玺，对研究秦汉帝后玺印制度有着十分重要的意义。",https://www.sxhm.com/collections/detail/466.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba90851f52.png
50,51,客使图,唐,一级文物,1971年乾县唐章怀太子墓出土,高185厘米，宽242厘米,壁画,"《客使图》位于章怀太子墓道东壁，画面中共有六位人物，前三位是唐朝鸿胪寺官员，均穿着初唐时期的朝服，头戴笼冠，身穿阔袖红袍，白裙曳地，腰系绶带，手持笏板，足登朝天履，呈三角状站立。三人气度沉稳，雍容自如，神情肃穆，面面相对，似乎正在商讨事宜。后面三位，为首一人秃顶，浓眉深目，高鼻阔嘴，身穿翻领紫袍，腰间束带，足穿黑靴，推断应是来自东罗马的使节。中间一人面庞丰圆，须眉清晰，朱唇，头戴尖状小冠，冠前涂红色，旁边加插鸟羽，身穿宽袖红领白短袍，下穿大口裤、黄皮靴，推断是来自朝鲜半岛的新罗国使节。最后一位头戴翻耳皮帽，圆脸，身着圆领黄袍，腰间束黑带，外披灰蓝大氅，下穿黄色毛皮窄裤、黄皮靴，应来自我国东北靺鞨族。这三位使者均躬身,毕恭毕敬,谦卑的神情中流露出期盼、等待之意。",https://www.sxhm.com/collections/detail/468.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba9b14aa6d.png
51,52,鎏金舞马衔杯纹银壶,唐,一级文物,1970年西安市南郊何家村窖藏出土,通高14.8厘米，口径2.3厘米，重549克,金银器,"从外形上看，壶身呈扁圆形，是模仿我国北方游牧民族契丹族使用的皮囊壶制作而成。唐朝初期政权统一，很多少数民族移居中原，其中包括很多契丹族人。而这件文物恰是少数民族文化与中原文化交流和融合的产物。其次，此壶的制作工艺非常独特。壶盖帽为捶揲成型的覆式莲瓣，顶中心铆有一个银环，环内套接了一条长14厘米的银链与提梁相连，壶肩部焊接着一端有三朵花瓣的像弓剑形状的提梁。壶身是先将一整块银板捶打出壶的大致形状，再以模压的方法在壶腹两面模出两匹相互对应奋首鼓尾、衔杯匐拜的舞马形象，然后再将两端黏压焊接，反复打磨致平，几乎看不出焊接的痕迹。
      而更为珍贵的还要数壶身上的两匹祝寿马，这里面还蕴含着悠久厚重的历史文化，唐玄宗在位后期越发的骄奢淫逸，纵情于声色犬马之中，天宝年间，每逢“千秋节”皇帝的生日都会在兴庆宫期的勤政楼前，举行盛大的宴会，接受文武百官、外国使臣和少数民族首领的朝贺，并以舞马助兴。这时上百匹舞马披金戴银，伴随着《倾杯乐》曲的节拍，跃然起舞，奋首鼓尾，舞姿翩翩。高潮时，舞马跃上三层高的床板旋转如飞。而此时领头的舞马便会衔起地上盛满酒的酒杯到玄宗面前祝寿。唐代许多文人曾写下很多关于舞马的诗句如“屈膝衔杯赴节，倾心献寿无疆，更有衔杯终宴曲，垂头掉尾醉如泥”都是形容舞马衔杯祝寿这一独特的宫廷娱乐活动。而这盛大的宫廷祝寿活动在天宝十四载，发生了历史性的转折。安史之乱爆发后，唐玄宗弃城而逃，这批舞马散落到安禄山的一名大将田成嗣手中。有一天，军中宴乐，舞马听见乐曲声应节拍跃然起舞，士兵见状误以为是妖孽，田成嗣命士兵将舞马鞭打而死。
      此后，盛行一时的舞马衔杯宫廷祝寿舞的形式在历史的变革中永远的销声匿迹了，但这件银壶却成为大唐王朝的兴衰最好的见证。",https://www.sxhm.com/collections/detail/469.html,https://www.sxhm.com/Uploads/Picture/2021/11/10/s618ba98fcbe8b.png
