id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
0,汉延年陶瓦当,汉,二级,,径16cm，0.590kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4158.html,htps:/Uploads/Picture/2023/02/24/s63f8467daa675.JPG
1,汉“大宜子孙”瓦当,汉,三级,,径17.6cm，1.345kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4159.html,htps:/Uploads/Picture/2023/02/24/s63f84a70469f1.JPG
2,汉“与年相宜”瓦当,汉,三级,,径16cm，0.675kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4160.html,htps:/Uploads/Picture/2023/02/24/s63f84ca82b110.JPG
3,汉“长生未央”瓦当,汉,三级,,径16cm，0.560kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4185.html,htps:/Uploads/Picture/2023/02/24/s63f86cd96ce17.jpg
4,汉云纹瓦当,汉,三级,,径15.7cm，0.765kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4186.html,htps:/Uploads/Picture/2023/02/24/s63f86d7b5d559.jpg
5,汉“与年无极”瓦当,汉,二级,,面径16.5cm，1.021kg,石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4187.html,htps:/Uploads/Picture/2023/02/24/s63f86e118fbf0.JPG
6,汉几何纹方砖,汉,一般,,"长35.5cm,宽35cm，7.765kg",石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4189.html,htps:/Uploads/Picture/2023/02/24/s63f86e97438ea.JPG
7,汉几何纹方砖,汉,一般,,"长35.1cm,宽34.5cm，7.550kg",石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4190.html,htps:/Uploads/Picture/2023/02/24/s63f86f1313a9b.JPG
8,汉“豕舍”瓦当,汉,未定级,,"直径14.7cm,厚2.9cm，0.465kg",石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4191.html,htps:/Uploads/Picture/2023/02/24/s63f86f8e78959.JPG
9,汉“豕舍”瓦当,汉,未定级,,"直径14.7cm,厚4.9cm，0.594kg",石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4192.html,htps:/Uploads/Picture/2023/02/24/s63f8701497db2.JPG
10,汉云纹瓦当,汉,未定级,,"直径15.5cm,厚2.7cm，0.570kg",石器、石刻、砖瓦,,https://www.sxhm.com/collections/detail/4193.html,htps:/Uploads/Picture/2023/02/24/s63f870ed135c6.JPG
